_is_fact,_is_query,_is_rule,_text,corefLemmaSeq,depSeq,lemmaSeq,posSeq,tagSeq
0,0,0,"For years,"," for year ,", ROOT pobj punct," for year ,", ADP NOUN PUNCT, IN NNS .
0,0,0,"ArXiv has served communities by providing access to articles,"," ArXiv have serve community by provide access to article ,", nsubj aux ROOT dobj prep pcomp dobj prep pobj punct," ArXiv have serve community by provide access to article ,", PROPN AUX VERB NOUN ADP VERB NOUN ADP NOUN PUNCT, NNP VBZ VBN NNS IN VBG NN IN NNS .
0,0,0,"from branches of physics to subdisciplines of science to everything in between,"," from branch of physic to subdiscipline of science to everything in between ,", ROOT pobj prep pobj prep pobj prep pobj prep pobj prep prep punct," from branch of physic to subdiscipline of science to everything in between ,", ADP NOUN ADP NOUN ADP NOUN ADP NOUN ADP PRON ADP ADP PUNCT," IN NNS IN NNS IN NNS IN NN IN NN IN IN ,"
0,0,0,"including math,"," include math ,", ROOT pobj punct," include math ,", VERB NOUN PUNCT," VBG NN ,"
0,0,0,"statistics,"," statistic ,", ROOT punct," statistic ,", NOUN PUNCT," NNS ,"
0,0,0,"engineering,"," engineering ,", ROOT punct," engineering ,", NOUN PUNCT," NN ,"
0,0,0,"biology,"," biology ,", ROOT punct," biology ,", NOUN PUNCT," NN ,"
0,0,0,and economics., and economic ., cc ROOT punct, and economic ., CCONJ NOUN PUNCT, CC NNS .
0,0,0,"corpus of information offers significant,"," corpus of information offer significant ,", nsubj prep pobj ROOT advmod punct," corpus of information offer significant ,", PROPN ADP NOUN VERB ADJ PUNCT," NNP IN NN VBZ JJ ,"
0,0,0,"but sometimes overwhelming depth.
"," but sometimes overwhelming depth . 
", cc advmod ROOT dobj punct ," but sometimes overwhelming depth . 
", CCONJ ADV ADJ NOUN PUNCT SPACE, CC RB JJ NN . _SP
0,0,0,"In times of challenges,"," in time of challenge ,", ROOT pobj prep pobj punct," in time of challenge ,", ADP NOUN ADP NOUN PUNCT," IN NNS IN NNS ,"
0,0,0,extraction of insights from data is essential., extraction of insight from datum be essential ., nsubj prep pobj prep pobj ROOT acomp punct, extraction of insight from datum be essential ., NOUN ADP NOUN ADP NOUN AUX ADJ PUNCT, NN IN NNS IN NNS VBZ JJ .
0,0,0,"To help make arXiv more accessible,"," to help make arXiv more accessible ,", aux ROOT xcomp nsubj advmod ccomp punct," to help make arXiv more accessible ,", PART VERB VERB PROPN ADV ADJ PUNCT," TO VB VB NNP RBR JJ ,"
0,0,0,"we present a free,"," -PRON- present a free ,", nsubj ROOT det dobj punct," -PRON- present a free ,", PRON VERB DET ADJ PUNCT," PRP VBP DT JJ ,"
0,0,0,"open pipeline on Kaggle to dataset: repository of articles,"," open pipeline on Kaggle to dataset : repository of article ,", amod ROOT prep pobj aux advcl punct appos prep pobj punct," open pipeline on Kaggle to dataset : repository of article ,", ADJ NOUN ADP PROPN PART VERB PUNCT NOUN ADP NOUN PUNCT, JJ NN IN NNP TO VB : NN IN NNS .
0,0,0,"with features such as titles,"," with feature such as title ,", ROOT pobj amod prep pobj punct," with feature such as title ,", ADP NOUN ADJ SCONJ NOUN PUNCT, IN NNS JJ IN NNS .
0,0,0,"authors,"," author ,", ROOT punct," author ,", NOUN PUNCT," NNS ,"
0,0,0,"categories,"," category ,", ROOT punct," category ,", NOUN PUNCT," NNS ,"
0,0,0,"abstracts,"," abstract ,", ROOT punct," abstract ,", NOUN PUNCT," NNS ,"
0,0,0,"PDFs,"," pdf ,", ROOT punct," pdf ,", NOUN PUNCT," NNS ,"
0,0,0,"and more.
"," and more . 
", cc ROOT punct ," and more . 
", CCONJ ADJ PUNCT SPACE, CC JJR . _SP
0,0,0,"hope is to empower cases that can lead to exploration of techniques that combine multi-modal features towards applications like analysis,"," hope be to empower case that can lead to exploration of technique that combine multi - modal feature towards application like analysis ,", nsubj ROOT aux xcomp dobj nsubj aux relcl prep pobj prep pobj nsubj relcl dep dep amod dobj prep pobj prep pobj punct," hope be to empower case that can lead to exploration of technique that combine multi - modal feature towards application like analysis ,", NOUN AUX PART VERB NOUN DET VERB VERB ADP NOUN ADP NOUN DET VERB ADJ ADJ ADJ VERB ADP NOUN SCONJ NOUN PUNCT," NN VBZ TO VB NNS WDT MD VB IN NN IN NNS WDT VBP JJ JJ JJ VBZ IN NNS IN NN ,"
0,0,0,"engines,"," engine ,", ROOT punct," engine ,", NOUN PUNCT," NNS ,"
0,0,0,"prediction,"," prediction ,", ROOT punct," prediction ,", NOUN PUNCT," NN ,"
0,0,0,"networks,"," network ,", ROOT punct," network ,", NOUN PUNCT," NNS ,"
0,0,0,"construction and search interfaces.
"," construction and search interface . 
", nmod cc conj ROOT punct ," construction and search interface . 
", NOUN CCONJ NOUN NOUN PUNCT SPACE, NN CC NN NNS . _SP
0,0,0,dataset is freely available via buckets (info here)., dataset be freely available via bucket ( info here ) ., nsubj ROOT advmod acomp prep pobj punct appos advmod punct punct, dataset be freely available via bucket ( info here ) ., PROPN AUX ADV ADJ ADP NOUN PUNCT NOUN ADV PUNCT PUNCT, NNP VBZ RB JJ IN NNS -LRB- NN RB -RRB- .
0,0,0,"Stay tuned for updates to dataset!
"," stay tuned for update to dataset ! 
", auxpass ROOT mark nsubj aux advcl punct ," stay tuned for update to dataset ! 
", VERB ADJ ADP NOUN PART VERB PUNCT SPACE, VB JJ IN NNS TO VB . _SP
0,0,0,"ArXiv is a collaboratively funded,"," ArXiv be a collaboratively fund ,", nsubj ROOT det advmod attr punct," ArXiv be a collaboratively fund ,", PROPN AUX DET ADV VERB PUNCT," NNP VBZ DT RB VBN ,"
0,0,0,"community-supported resource founded by Ginsparg in 1991 and maintained and operated by University.
"," community - support resource found by Ginsparg in 1991 and maintain and operate by University . 
", npadvmod punct amod ROOT acl agent pobj prep pobj cc conj cc conj agent pobj punct ," community - support resource found by Ginsparg in 1991 and maintain and operate by University . 
", NOUN PUNCT VERB NOUN VERB ADP PROPN ADP NUM CCONJ VERB CCONJ VERB ADP PROPN PUNCT SPACE, NN HYPH VBN NN VBN IN NNP IN CD CC VBD CC VBN IN NNP . _SP
0,0,0,release of dataset was featured further in post here., release of dataset be feature further in post here ., nsubjpass prep pobj auxpass ROOT advmod prep pobj advmod punct, release of dataset be feature further in post here ., NOUN ADP NOUN AUX VERB ADV ADP NOUN ADV PUNCT, NN IN NN VBD VBN RB IN NN RB .
